Level,Number,year2014,year2015,year2016,year2017,year2018,year2019
1,1,"Airplane
飛行機","Spike
とめけん","Airplane
飛行機","Spike
とめけん","Spike
スパイク","Base cup
中皿"
1,2,"Swing spike
ふりけん","Airplane
飛行機","Spike
とめけん","Airplane
飛行機","Airplane
飛行機","Airplane
飛行機"
1,3,"Around Japan
日本一周","Around Japan
日本一周","Around Japan
日本一周","Around Japan
日本一周","Big cup, Spike
村一周","Easy big cup, Spike
手のせ大皿～けん"
1,4,"Around the world
世界一周","Big cup, Orbit, Spike
大皿～つばめ返し～けん","Trapeze
空中ブランコ","Trapeze
空中ブランコ","Trapeze
空中ブランコ","Trapeze
空中ブランコ"
1,5,"Trapeze
空中ブランコ","Trapeze
空中ブランコ","Big cup, Orbit, Spike
大皿～つばめ返し～けん","Moshikame x11
もしかめ１１回","Big cup, Orbit, Spike
大皿～つばめ返し～けん","Takoyaki
たこやき"
1,6,"Baseball, Cup
野球～皿","Flying Top
たけとんぼ","Big cup, Arm bounce,
Big cup
大皿～アームリフト
～大皿","Baseball
野球","Baseball
野球","Baseball
野球"
1,7,"Big cup, Knee bounce,
Big cup
大皿～
リフティング大皿","Big cup, Knee bounce,
Big cup
大皿～リフティング大皿","Tama grip, Throw to big cupず～まスロー大皿","Big cup, Kneebounce big cup大皿～リフティング大皿","Big cup, Kneebounce big cup大皿～リフティング大皿","Spike
スパイク"
1,8,"Big cup, Orbit, Spike
大皿～つばめ返し～けん","Penguin base cup
ペンギン中皿","Flying pan, Spike
フライパン～けん","Scooping goldfish
金魚すくい","Candle block
ろうそく一周","Easy big cup, Hopscotch x 2
手のせ大皿 けんけんぱ２回"
1,9,"Flying top
たけとんぼ","Scooping goldfish
金魚すくい","Scooping goldfish
金魚すくい","Candle block
ろうそく皿一周","Hanging double clap catch
ダブル手拍子つるし持ち","Hanging clap catch
手拍子つるし持ち"
1,10,"Moshi x11
もしかめ１１回","Moshi x11
もしかめ１１回","Moshi x11
もしかめ 11 回","Big cup, Orbit, Spike
大皿～つばめ返し～けん","Moshikame x 11
もしかめ１１回","Moshikame x 11
もしかめ１１回"
2,1,"1-turn airplane
１回転飛行機","Swing spike, Earth turn
地球まわし","Jumping stick
はねけん","Gunslinger spike
風車けん","Gunslinger spike
風車けん","Frying pan, Spike
フライパン～けん"
2,2,"Swing spike, Earth turn
地球まわし","J-stick
はねけん","Swing spike, Earth turn
地球まわし","Jumping stick
はねけん","Jumping stick
はねけん","Jumping stick
はねけん"
2,3,"Scrambled airplane
スクランブル飛行機","Around Europe
ヨーロッパ一周","Around Europe
ヨーロッパ一周","Around Europe
ヨーロッパ一周","Around Japan
日本一周","Around Japan
日本一周"
2,4,"J-stick
はねけん","Tama grip, Throw to big cup, Spike
ず～まスロー大皿～けん","Turntable, Spike
ターンテーブル～けん","Swing spike, Earth turn
地球まわし","Swing spike, Earth turn
地球まわし","Earth turn
地球まわし"
2,5,"Bird, Spike
うぐいす～けん","Kenflip big cup, Spike
けんフリップ大皿～けん","Kenflip big cup, Spike
けんフリップ大皿～けん","Base cup hanging spike
中皿つるしとめけん","Stuntplane
すくいけん","Stuntplane
すくいけん"
2,6,"Tap in
灯台かえし","Hanging spike
つるしとめけん","Bird, 1 turn spike
うぐいす～回転けん","Kenflip big cup, Spike
けんフリップ大皿～けん","Kenflip big cup, Spike
けんフリップ大皿～けん","Spike, Flying top
スパイク～たけとんぼ"
2,7,"Stuntplane
すくいけん","Bird, Spike
うぐいす～けん","Lighthouse, Falling in
灯台～さかおとし","Underbird, Spike
アンダーバード～けん","Finger solar flare, Spike
てんとう虫～けん","Hanging spike
つるしとめけん"
2,8,"Hanging spike
つるしとめけん","Lighthouse, Falling in
灯台～さかおとし","Flying V, Airplane
ブリッジ～飛行機","Lighthouse, Falling in
灯台～さかおとし","Lighthouse, Falling in
灯台～さかおとし","Lighthouse, Falling in
灯台～さかおとし"
2,9,"Lighthouse, Falling in
灯台～さかおとし","Stuntplane
すくいけん","Stuntplane
すくいけん","Stuntplane
すくいけん","Penguin base cup,
Spike
ペンギン中皿～けん","Base cup,
Rising dragon spike
秘竜のぼりけん"
2,10,"Downspike
ダウンスパイク","Airplane, Base cup,
Downspike
飛行機～中皿～ダウンスパイク","Airplane, Base cup,
Downspike
飛行機～中皿～ダウンスパイク","Downspike
ダウンスパイク","Downspike
ダウンスパイク","Downspike
ダウンスパイク"
3,1,"Spacewalk
宇宙遊泳","Gunslinger spike
風車ふりけん",Swirl to airplane (Ken grip start)らせん飛行機,"Shimma special
新間スペシャル","Candle, Spike
ろうそく返し","Big cup, Kenflip big cup,
Spike
大皿～けんフリップ大皿
～けん"
3,2,"Gunslinger spike
風車ふりけん",Swirl to airplane (Ken grip start)らせん飛行機,"Gunslinger spike
風車ふりけん","UFO
飛行機～ＵＦＯ","Spacewalk
宇宙遊泳","Half spacewalk
半宇宙遊泳"
3,3,"Turntable, Spike
ターンテーブル
～けん","Around USA
ＵＳＡ一周","UFO
飛行機～ＵＦＯ","Pinky spike, 1 turn spike
小指姫～回転けん","Around Europe
ヨーロッパ一周","Around Europe
ヨーロッパ一周"
3,4,"Big cup, Airplane in
大皿さかおとし","Swing spike, Whirlwind
ふりけん～
けんフリップ地球まわし","Spacewalk
宇宙遊泳","Swing spike, Whirlwind
ふりけん～ ワールウィンド","Whirlwind
ワールウィンド","Whirlwind
ワールウィンド"
3,5,"Lighthouse, Tap flip in
灯台～タップ１回転さかおとし","Big cup, Juggle big cup,
Spike
大皿～ジャグル大皿～けん","Swing spike, Whirlwind
ふりけん～ ワールウィンド","Juggle big cup, Spike
ジャグル大皿～けん","Juggle big cup, Spike
ジャグル大皿～けん","Juggle big cup, Spike
ジャグル大皿～けん"
3,6,"Airplane,
Tap reverse flip in
飛行機～タップうら １回転はねけん","Nunchack airplane
ヌンチャク飛行機","Juggle big cup, Spike
ジャグル大皿～けん","Ghost lighthouse,
Falling in
ゴースト灯台
～さかおとし","Base cup hanging lighthouse, Falling in
中皿つるし灯台
～さかおとし","1 turn lighthouse, Tradespike        １回転灯台～けん"
3,7,"Big cup, Kenflip big cup, Spike
大皿～けんフリップ大皿
～けん","Turntable, Spike
ターンテーブル～けん","Lighthouse, Downspike
灯台～ダウンスパイク","Turntable, Spike
ターンテーブル～けん","Bird, 1 turn spike
うぐいす～回転けん","Bird, 1 turn spike
うぐいす～回転けん"
3,8,"Lighthouse, Tradespike
灯台～とめけん","Candle, Spike
ろうそく返し","Lunar, Flip in
月面着陸～         １回転さかおとし","Lunar, Flip in
月面着陸～         １回転さかおとし","Lunar, Flip in
月面着陸～         １回転さかおとし","Lunar, Flip in
月面着陸～         １回転さかおとし"
3,9,"Lighthouse flip,
Falling in
灯台とんぼ返り～さかおとし","UFO
飛行機～ＵＦＯ","Cat jumping stick
招き猫はねけん","Spacewalk
宇宙遊泳","Turntable, Spike
ターンテーブル～けん","Turntable, Spike
ターンテーブル～けん"
3,10,"Airplane, Base cup,
Downspike
飛行機～中皿～ダウンスパイク","Lunar, Flip in
月面着陸～         １回転さかおとし","Downspike, Down earth
地獄ぐるま","Airplane, Base cup,
Downspike
飛行機～中皿～ダウンスパイク","Airplane, Base cup,
Downspike
飛行機～中皿
～ダウンスパイク","Airplane, Base cup,
Downspike
レジェンド"
4,1,"Airplane, Double inward J-stick
飛行機～           ２回転うらはねけん","1-turn lighthouse, Inward flip stuntplane
１回転灯台～
うら１回転すくいけん","Airplane,
1.5 turn tradespike
飛行機～
1.5 回転とめけん","Sweets special
スイーツスペシャル","Lightning drop swap spike
稲妻おとし１回転とめけん","Sweets special
スイーツスペシャル"
4,2,"Swing spike, Whirlwind
ふりけん～けんフリップ地球まわし","Super flamingo spacewalk
スーパーフラミンゴ宇宙遊泳","Spacewalk swap spike
宇宙遊泳１回転とめけん","Spacewalk 1 turn airplane
宇宙遊泳１回転飛行機","2 turn airplane
２回転飛行機","Downspike fasthand,
Jumping stick
ダウンスパイクファストハンド
～はねけん"
4,3,"Mooncircle
円月殺法","Handlestall, Spike
中皿極意～けん","Stuntplane fasthand penguin,
Penguin earth turn
かぶせペンギン
～ペンギン地球まわし","Around USA
ＵＳＡ一周","Around USA
ＵＳＡ一周","Around USA
ＵＳＡ一周"
4,4,"Stilt, Flip in
たけうま～          １回転さかおとし","Stilt, Flip in
たけうま～         １回転さかおとし","Spacewalk handroll spike
宇宙遊泳扇風機ふりけん","Swing spike, Double whirlslinger
ふりけん～                  ２回転風車地球まわし","Airplane,
1.5 turn swap spike
飛行機～ １．５回転とめけん","Airplane,
1.5 turn swap spike
飛行機～ １．５回転とめけん"
