year,name,level
2014,Airplane,1
2014,Swing spike,1
2014,Around Japan,1
2014,Around the world,1
2014,Trapeze,1
2014,"Baseball, Cup",1
2014,"Big cup, Knee bounce,Big cup",1
2014,"Big cup, Orbit, Spike",1
2014,Flying top,1
2014,Moshi x11,1
2014,1-turn airplane,2
2014,"Swing spike, Earth turn",2
2014,Scrambled airplane,2
2014,J-stick,2
2014,"Bird, Spike",2
2014,Tap in,2
2014,Stuntplane,2
2014,Hanging spike,2
2014,"Lighthouse, Falling in",2
2014,Downspike,2
2014,Spacewalk,3
2014,Gunslinger spike,3
2014,"Turntable, Spike",3
2014,"Big cup, Airplane in",3
2014,"Lighthouse, Tap flip in",3
2014,"Airplane,Tap reverse flip in ",3
2014,"Big cup, Kenflip big cup, Spike",3
2014,"Lighthouse, Tradespike",3
2014,"Lighthouse flip,Falling in",3
2014,"Airplane, Base cup,Downspike",3
2014,"Airplane, Double inward J-stick           ",4
2014,"Swing spike, Whirlwind",4
2014,Mooncircle,4
2014,"Stilt, Flip in          ",4
2014,"Airplane, Half flip spike",4
2014,"Lunar, Flip in    ",4
2014,"Big cup, Juggle big cup,Spike",4
2014,U.F.O.,4
2014,Spacewalk handroll spike,4
2014,Hanging downspike,4
2014,"Airplane, Base cup,Airplane in ",5
2014,"Swing spike,Inward whirlwind",5
2014,"Airplane, Whirlpool spike",5
2014,Around the USAUSA ,5
2014,"Slip-stop special, Spike",5
2014,"Lunar flip, In",5
2014,"Inward lunar,Tradespike",5
2014,"Penguin base cup, Double kenflip base cup, Spike",5
2014,"Big cup, Kenflip lighthouse, Falling in",5
2014,"Downspike, Airplane in",5
2014,"Airplane, Inward flip lighthouse, Inward flip falling in",6
2014,"Downspike, Down earth",6
2014,"Turntable, Reverse turntable, Spike",6
2014,"1-turn stilt, Flip in ",6
2014,Double super flamingo spacewalk,6
2014,"Backcross spacewalk 1-turn lighthouse,Tradespike         ",6
2014,"1-turn lighthouse, Inward flip stuntplane ",6
2014,"Airplane, Flip swap spike",6
2014,"Inward kenflip lighthouse, Falling in",6
2014,"2-turn lighthouse, Trade downspike",6
2014,"Stuntplane, Inward stuntplane flip",7
2014,"Swing spike, Double whirlwind",7
2014,"Double turntable, Spike",7
2014,Around Denmark,7
2014,"Mooncircle slip stop special, Spike",7
2014,"Base cup, Flip lunar,Flip in",7
2014,Lightning drop swap spike,7
2014,"Swing spike, Juggle spike",7
2014,"Mooncircle mooncircle kenflip lighthouse,Tradespike",7
